team.name,team_rating
Real Madrid,0.8815840912546358
Barcelona,0.9866082641747359
Atletico Madrid,0.732187721932652
Sevilla,0.624133781131376
Villarreal,0.4970517993607592
Real Sociedad,0.45787445366454466
Granada CF,0.3081842969061015
Getafe,0.4643985931013752
Valencia,0.4501293022380937
Osasuna,0.22859513374063592
Athletic Club,0.40509046011658684
Levante,0.3126393903979445
Valladolid,0.20049641408844773
Eibar,0.2696276321792293
Real Betis,0.2849680777038143
Alaves,0.21386697190373194
Celta Vigo,0.2383737047639329
Leganes,0.19713895702371367
Mallorca,0.06433159219409174
Espanyol,0.1426535236092993
